date,现有感染者
2022/04/05,21
2022/04/06,20
2022/04/07,13
2022/04/08,13
2022/04/09,16
2022/04/10,9
2022/04/11,11
2022/04/12,11
2022/04/13,7
2022/04/14,9
2022/04/15,7
2022/04/16,10
2022/04/17,5
2022/04/18,14
2022/04/19,8
2022/04/20,4
2022/04/21,7
2022/04/22,8
2022/04/23,12
2022/04/24,11
2022/04/25,8
2022/04/26,5
2022/04/27,6
2022/04/28,5
2022/04/29,11
2022/04/30,10
2022/05/01,4
2022/05/02,3
2022/05/03,4
2022/05/04,5
2022/05/05,7
2022/05/06,8
2022/05/07,4
2022/05/08,3
2022/05/09,3
2022/05/10,1
2022/05/11,8
2022/05/12,1
2022/05/13,4
2022/05/14,1
2022/05/15,2
2022/05/16,2
2022/05/17,5
2022/05/18,2
2022/05/19,5
2022/05/20,5
2022/05/21,0
2022/05/22,0
2022/05/23,2
2022/05/24,1
2022/05/25,2
2022/05/26,1
2022/05/27,6
2022/05/28,1
2022/05/29,3
2022/05/30,4
